SampleID	Genetic	Pond	Organ
HA1	Genetic 2 (Gen1)	Pond C (Gen2)	Hepatopancreas
HA2	Genetic 2 (Gen1)	Pond C (Gen2)	Hepatopancreas
HA5	Genetic 2 (Gen1)	Pond C (Gen2)	Hepatopancreas
HA7	Genetic 2 (Gen1)	Pond C (Gen2)	Hepatopancreas
HA8	Genetic 2 (Gen1)	Pond C (Gen2)	Hepatopancreas
HE1	Genetic 1 (Gen1)	Pond B (Gen1)	Hepatopancreas
HE2	Genetic 1 (Gen1)	Pond B (Gen1)	Hepatopancreas
HE4	Genetic 1 (Gen1)	Pond B (Gen1)	Hepatopancreas
HE5	Genetic 1 (Gen1)	Pond B (Gen1)	Hepatopancreas
HE7	Genetic 1 (Gen1)	Pond B (Gen1)	Hepatopancreas
HE8	Genetic 1 (Gen1)	Pond B (Gen1)	Hepatopancreas
HL1	Genetic 1 (Gen1)	Pond A (Gen1)	Hepatopancreas
HL2	Genetic 1 (Gen1)	Pond A (Gen1)	Hepatopancreas
HL4	Genetic 1 (Gen1)	Pond A (Gen1)	Hepatopancreas
HL5	Genetic 1 (Gen1)	Pond A (Gen1)	Hepatopancreas
HL7	Genetic 1 (Gen1)	Pond A (Gen1)	Hepatopancreas
IA2	Genetic 2 (Gen1)	Pond C (Gen2)	Intestine
IA3	Genetic 2 (Gen1)	Pond C (Gen2)	Intestine
IA4	Genetic 2 (Gen1)	Pond C (Gen2)	Intestine
IA5	Genetic 2 (Gen1)	Pond C (Gen2)	Intestine
IA7	Genetic 2 (Gen1)	Pond C (Gen2)	Intestine
IA8	Genetic 2 (Gen1)	Pond C (Gen2)	Intestine
IA9	Genetic 2 (Gen1)	Pond C (Gen2)	Intestine
IE2	Genetic 1 (Gen1)	Pond B (Gen1)	Intestine
IE3	Genetic 1 (Gen1)	Pond B (Gen1)	Intestine
IE5	Genetic 1 (Gen1)	Pond B (Gen1)	Intestine
IE7	Genetic 1 (Gen1)	Pond B (Gen1)	Intestine
IE8	Genetic 1 (Gen1)	Pond B (Gen1)	Intestine
IE9	Genetic 1 (Gen1)	Pond B (Gen1)	Intestine
IL1	Genetic 1 (Gen1)	Pond A (Gen1)	Intestine
IL2	Genetic 1 (Gen1)	Pond A (Gen1)	Intestine
IL3	Genetic 1 (Gen1)	Pond A (Gen1)	Intestine
IL4	Genetic 1 (Gen1)	Pond A (Gen1)	Intestine
IL6	Genetic 1 (Gen1)	Pond A (Gen1)	Intestine
IL8	Genetic 1 (Gen1)	Pond A (Gen1)	Intestine
